id,personSessionId,zoneCode,zoneName,firstLook,lastLook,firstDwell,lastDwell,viewTimeSeconds,dwellTimeSeconds,recordedAt
7198,95ebee1b-ac18-4f4f-b0f6-07c442f523de,PE-03,"East Wall Bay 3",2026-07-31T03:19:46.508Z,2026-07-31T03:20:59.708Z,2026-07-31T03:19:46.508Z,2026-07-31T03:20:59.708Z,73.2,73.2,2026-07-31T03:19:46.508Z
7180,0626e582-61ba-49c8-aaa1-960494170705,GF-R5-U4,"Gondola R5 Front U4",2026-07-31T03:19:46.387Z,2026-07-31T03:20:26.587Z,2026-07-31T03:19:46.387Z,2026-07-31T03:20:26.587Z,40.2,40.2,2026-07-31T03:19:46.387Z
7173,3902343a-33dc-44f5-8072-3516f7a506fe,GB-R4-U7,"Gondola R4 Back U7",2026-07-31T03:19:46.257Z,2026-07-31T03:20:20.457Z,2026-07-31T03:19:46.257Z,2026-07-31T03:20:20.457Z,34.2,34.2,2026-07-31T03:19:46.257Z
7148,35dcb771-9404-4284-aaa9-d6cf69f90608,RR-02,"Apparel Round Rack 2",2026-07-31T03:19:40.703Z,2026-07-31T03:19:47.503Z,2026-07-31T03:19:40.703Z,2026-07-31T03:19:47.503Z,6.8,6.8,2026-07-31T03:19:40.703Z
7202,08cf66bf-5937-4d6d-9287-015b3ac9c64e,GF-R3-U4,"Gondola R3 Front U4",2026-07-31T03:19:38.480Z,2026-07-31T03:21:08.080Z,2026-07-31T03:19:38.480Z,2026-07-31T03:21:08.080Z,89.6,89.6,2026-07-31T03:19:38.480Z
7169,40b96ab4-a0fc-4561-bb99-bd14b771e5d1,GF-R5-U6,"Gondola R5 Front U6",2026-07-31T03:19:37.238Z,2026-07-31T03:20:13.238Z,2026-07-31T03:19:37.238Z,2026-07-31T03:20:13.238Z,36.0,36.0,2026-07-31T03:19:37.238Z
7165,d0065d0b-4a8d-428e-b371-ab6941b703a8,GF-R3-U2,"Gondola R3 Front U2",2026-07-31T03:19:32.428Z,2026-07-31T03:20:02.628Z,2026-07-31T03:19:32.428Z,2026-07-31T03:20:02.628Z,30.2,30.2,2026-07-31T03:19:32.428Z
7171,e0687f2f-2f1f-49e3-ae67-3576de0ea768,GF-R4-U4,"Gondola R4 Front U4",2026-07-31T03:19:31.582Z,2026-07-31T03:20:14.782Z,2026-07-31T03:19:31.582Z,2026-07-31T03:20:14.782Z,43.2,43.2,2026-07-31T03:19:31.582Z
7195,94109efc-6b18-4661-8d05-47339b38ab3e,GB-R4-U5,"Gondola R4 Back U5",2026-07-31T03:19:27.673Z,2026-07-31T03:20:46.673Z,2026-07-31T03:19:27.673Z,2026-07-31T03:20:46.673Z,79.0,79.0,2026-07-31T03:19:27.673Z
7186,9c899e49-9350-4553-99fc-b92eb60f636f,GF-R3-U4,"Gondola R3 Front U4",2026-07-31T03:19:27.407Z,2026-07-31T03:20:30.207Z,2026-07-31T03:19:27.407Z,2026-07-31T03:20:30.207Z,62.8,62.8,2026-07-31T03:19:27.407Z
