item_cd,qty,orders,name,name_kr
4002011,4,4,"SPORT BAG ESSENTIAL 35L red, 35L","SPORT BAG ESSENTIAL 35L red, 35L"
5273804,4,2,"KIPRUN KS900 2 M Blue, UK 9.5 - EU 44","KIPRUN KS900 2 M Blue, UK 9.5 - EU 44"
4365366,4,2,"KIPRUN WARM RAIN 2, 30\"" / S (L31)","KIPRUN WARM RAIN 2, 30\"" / S (L31)"
4043975,4,3,"PANT NH100 BLACK W, UK8 / FR38 (L31)","PANT NH100 BLACK W, UK8 / FR38 (L31)"
4048276,4,2,"HELIUM SUN 500 LIGHT PURPLE, M","HELIUM SUN 500 LIGHT PURPLE, M"
4048279,4,3,"HELIUM SUN 500 LIGHT PURPLE, XS","HELIUM SUN 500 LIGHT PURPLE, XS"
4479744,4,3,"JF100.1 M GREY ORANGE, UK 7 - EU 41","JF100.1 M GREY ORANGE, UK 7 - EU 41"
5375120,4,4,CUSHION 500 W LIGHT BLUE PINK UK 3  EU36,CUSHION 500 W LIGHT BLUE PINK UK 3  EU36
5374427,4,2,"JOGFLOW 190.1 GRIP M WHI, UK 8.5 - EU 43","JOGFLOW 190.1 GRIP M WHI, UK 8.5 - EU 43"
5223859,4,3,"T-SHIRT MH500 PRINT GREY CN, M","T-SHIRT MH500 PRINT GREY CN, M"
5379859,4,3,"KIPRUN KD900 2 W - White, UK 6.5  EU40","KIPRUN KD900 2 W - White, UK 6.5  EU40"
5273805,4,3,"KIPRUN KS900 2 M Blue, UK 10 - EU 44.5","KIPRUN KS900 2 M Blue, UK 10 - EU 44.5"
5086573,4,4,"ZIP OFF TROUSERS MT500, UK31\"" FR40 (L31)","ZIP OFF TROUSERS MT500, UK31\"" FR40 (L31)"
2953480,4,3,"TV 100 WHITE BLACK VISOR S56, No Size","TV 100 WHITE BLACK VISOR S56, No Size"
5116544,4,4,"CN TS 500 WOOL M Putty, L","CN TS 500 WOOL M Putty, L"
2923043,4,4,YAMBA 500 PALM WOOD No Size,YAMBA 500 PALM WOOD No Size
4883297,4,4,"Ski jkt 500 W black, UK 10 / EU M","Ski jkt 500 W black, UK 10 / EU M"
2899475,4,4,RAINCOVER FOR 40/60L B ONE SIZE FITS ALL,RAINCOVER FOR 40/60L B ONE SIZE FITS ALL
4265813,4,3,"1 POLE FORCLAZ 500 GREY, No Size","1 POLE FORCLAZ 500 GREY, No Size"
5383047,4,4,"KIPRUN KS900 2 M - Full, UK 8.5 - EU 43","KIPRUN KS900 2 M - Full, UK 8.5 - EU 43"
